NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
1000,400,14000000,10,4,1,4,5,0.047117,0.051485,0.098805,13920805
1000,400,14000000,10,4,1,4,6,0.047269,0.051549,0.099018,13901617
1000,400,14000000,10,4,1,4,7,0.047322,0.051552,0.099074,13880154
1000,400,14000000,10,4,1,4,8,0.047328,0.051528,0.099061,13857525
1000,400,14000000,10,4,1,4,9,0.047290,0.051510,0.099001,13833799
1000,400,14000000,10,4,1,4,10,0.047264,0.051581,0.099058,13809196
1000,400,14000000,10,8,1,8,1,0.029584,0.032097,0.063053,13982437
1000,400,14000000,10,8,1,8,2,0.028891,0.032212,0.061300,13967740
1000,400,14000000,10,8,1,8,3,0.029605,0.032343,0.062155,13955318
1000,400,14000000,10,8,1,8,4,0.029417,0.032936,0.062549,13940103
1000,400,14000000,10,8,1,8,5,0.029820,0.032511,0.062540,13920805
1000,400,14000000,10,8,1,8,6,0.029010,0.032359,0.061566,13901617
1000,400,14000000,10,8,1,8,7,0.029449,0.032432,0.062090,13880154
1000,400,14000000,10,8,1,8,8,0.029291,0.032458,0.061958,13857525
1000,400,14000000,10,8,1,8,9,0.029286,0.033114,0.062599,13833799
1000,400,14000000,10,8,1,8,10,0.029758,0.032434,0.062389,13809196
1000,400,14000000,10,16,1,16,1,0.020594,0.048948,0.070656,13982437
1000,400,14000000,10,16,1,16,2,0.047086,0.047561,0.094980,13967740
1000,400,14000000,10,16,1,16,3,0.046946,0.049166,0.096466,13955318
1000,400,14000000,10,16,1,16,4,0.046668,0.047989,0.095118,13940103
1000,400,14000000,10,16,1,16,5,0.047119,0.048430,0.095897,13920805
1000,400,14000000,10,16,1,16,6,0.046426,0.048847,0.095623,13901617
1000,400,14000000,10,16,1,16,7,0.046788,0.048681,0.095810,13880154
1000,400,14000000,10,16,1,16,8,0.046180,0.047062,0.093589,13857525
1000,400,14000000,10,16,1,16,9,0.046007,0.048640,0.094989,13833799
1000,400,14000000,10,16,1,16,10,0.045442,0.046224,0.092017,13809196
1000,400,14000000,10,32,1,32,1,0.015418,0.023243,0.040170,13982437
1000,400,14000000,10,32,1,32,2,0.031666,0.023435,0.055309,13967740
1000,400,14000000,10,32,1,32,3,0.044344,0.023467,0.068022,13955318
1000,400,14000000,10,32,1,32,4,0.029039,0.022827,0.052110,13940103
1000,400,14000000,10,32,1,32,5,0.012899,0.024954,0.038061,13920805
1000,400,14000000,10,32,1,32,6,0.028298,0.023060,0.051562,13901617
1000,400,14000000,10,32,1,32,7,0.016776,0.023257,0.040673,13880154
1000,400,14000000,10,32,1,32,8,0.043085,0.023031,0.066322,13857525
1000,400,14000000,10,32,1,32,9,0.033376,0.023016,0.056669,13833799
1000,400,14000000,10,32,1,32,10,0.025440,0.022902,0.048547,13809196
1000,400,14000000,10,64,1,64,1,0.016728,0.012779,0.030925,13982437
1000,400,14000000,10,64,1,64,2,0.018620,0.013502,0.032323,13967740
1000,400,14000000,10,64,1,64,3,0.009846,0.013922,0.023982,13955318
1000,400,14000000,10,64,1,64,4,0.020259,0.013255,0.033713,13940103
1000,400,14000000,10,64,1,64,5,0.043933,0.013196,0.057329,13920805
1000,400,14000000,10,64,1,64,6,0.022834,0.013795,0.036829,13901617
1000,400,14000000,10,64,1,64,7,0.028270,0.013138,0.041609,13880154
